          ,  0  ,  4  , 10  , 16  , 21  , 27  , 32  , 38  , 43  , Temperature C
10        , 20.9, 20.9, 20.9, 20.9, 20.8, 20.8, 20.8, 20.8, 20.7, 
20        , 20.9, 20.9, 20.8, 20.8, 20.8, 20.8, 20.7, 20.6, 20.5, 
30        , 20.9, 20.8, 20.8, 20.8, 20.7, 20.7, 20.6, 20.5, 20.4, 
40        , 20.8, 20.8, 20.8, 20.7, 20.7, 20.6, 20.5, 20.4, 20.2, 
50        , 20.8, 20.8, 20.8, 20.7, 20.6, 20.5, 20.4, 20.2, 20  , 
60        , 20.8, 20.8, 20.7, 20.7, 20.6, 20.5, 20.3, 20.1, 19.8, 
70        , 20.8, 20.8, 20.7, 20.6, 20.5, 20.4, 20.2, 19.9, 19.6, 
80        , 20.8, 20.8, 20.7, 20.6, 20.5, 20.3, 20.1, 19.8, 19.5, 
90        , 20.8, 20.7, 20.7, 20.6, 20.4, 20.3, 20  , 19.7, 19.3, 
100       , 20.8, 20.7, 20.6, 20.5, 20.4, 20.2, 19.9, 19.5, 19.1, 
Humidity %,     ,     ,     ,     ,     ,     ,     ,     ,     , 
